ITEM CODE,IE Trade,IE High,IE Mid,IE Low,IE Base,IE EDM,IE ANEW
IEZO4753269-69,10.61,4.25,3.84,3.69,3.54,4.03,4.03
IEZO4753269-59,16.59,6.65,6.01,5.77,5.52,6.3,6.3
,,,,,,,
IEA514-69,31.61,12.65,11.17,10.63,10.08,12.01,12.01
IEA514-59,46.04,18.42,16.27,15.48,14.69,17.5,17.5
,,,,,,,
IEZ03XXG77949,19.11,7.64,6.74,6.42,6.09,7.25,7.25
IEZ03XXG73269,20.24,8.09,7.21,6.84,6.48,7.69,7.69
IEZ807XXG77949,26.31,10.5,9.27,8.82,8.38,9.99,9.99
IEZ807XXG73269,23.05,9.22,8.15,7.74,7.33,8.76,8.76
,,,,,,,
IEZ03XXG77949-XFG,19.89,7.96,7.02,6.68,6.34,7.55,7.55
IEZ03XXG73269-XFG,20.44,8.17,7.28,6.91,6.54,7.76,7.76
IEZ807XXG77949-XFG,29.84,11.91,10.51,10.01,9.5,11.33,11.33
IEZ807XXG73269-XFG,31.73,12.69,11.22,10.66,10.09,12.06,12.06
,,,,,,,
IEV6P4,19.09,7.63,6.75,6.75,6.75,7.27,7.27
IEV5P4,15.6,6.23,5.52,5.52,5.52,5.94,5.94
IEV6P89,27.83,11.13,9.84,9.84,9.84,10.58,10.58
IEV5P89,41.2,16.48,14.57,14.57,14.57,15.66,15.66
,,,,,,,
IEV6P344,27.23,10.89,9.62,9.62,9.62,10.34,10.34
IEV5P344,29.33,11.73,10.36,10.36,10.36,11.14,11.14
IEV6P3489,78.15,31.26,27.62,27.62,27.62,29.7,29.7
IEV5P3489,76.08,30.43,26.89,26.89,26.89,28.92,28.92
,,,,,,,
IEZ6P8,7.21,2.88,2.62,2.49,2.36,2.75,2.75
IEZ5P8,5.73,2.29,2.08,1.98,1.88,2.18,2.18
IEZ6P6,22.09,8.83,8.02,7.63,7.24,8.42,8.42
IEZ5P6,30.3,12.12,11.01,10.47,9.94,11.55,11.55
IEZ6P4,45.03,18.01,16.36,15.56,14.76,17.16,17.16
IEZ5P4,29.75,11.9,10.81,10.28,9.75,11.34,11.34
,,,,,,,
IEZITY6P8,18.38,7.34,6.48,6.3,6.13,6.96,6.96
IEZITY5P8,17.77,7.1,6.27,6.09,5.92,6.73,6.73
IEZITY6P6,47.66,19.05,16.82,16.36,15.89,18.07,18.07
IEZITY5P6,36.32,14.52,12.82,12.46,12.11,13.77,13.77
IEZITY6P4,74.4,29.75,26.26,25.55,24.83,28.22,28.22
IEZITY5P4,70.73,28.28,24.97,24.29,23.61,26.83,26.83
,,,,,,,
IEZ6P328,15.24,6.1,5.39,5.03,4.67,5.79,5.79
IEZ5P328,9.59,3.83,3.39,3.16,2.94,3.64,3.64
IEZ6P326,26.01,10.4,9.19,8.58,7.97,9.87,9.87
IEZ5P326,46.28,18.51,16.35,15.27,14.19,17.56,17.56
IEZ6P324,67.81,27.12,23.96,22.37,20.79,25.73,25.73
IEZ5P324,67.51,27,23.85,22.27,20.7,25.62,25.62
,,,,,,,
IEZITY6P328,20.58,8.23,7.27,7.04,6.81,7.82,7.82
IEZITY5P328,21.81,8.72,7.71,7.46,7.21,8.29,8.29
IEZITY6P326,65.86,26.35,23.28,22.53,21.78,25.04,25.04
IEZITY5P326,50.61,20.24,17.89,17.31,16.74,19.24,19.24
IEZITY6P324,134.19,53.68,47.44,45.91,44.38,51.01,51.01
IEZITY5P324,130.32,52.13,46.07,44.59,43.1,49.54,49.54
,,,,,,,
IEZ5169OXM-O,2.39,0.96,0.85,0.82,0.79,0.91,0.91
IEZ5169OXM-I,2.53,1.01,0.9,0.86,0.83,0.97,0.97
IEZ5159OXM-O,2.15,0.86,0.77,0.74,0.71,0.82,0.82
IEZ5159OXM-I,2.72,1.09,0.97,0.93,0.89,1.04,1.04
IEZ0369OXM-O,2.12,0.85,0.76,0.73,0.69,0.81,0.81
IEZ0369OXM-I,2.06,0.82,0.74,0.7,0.67,0.79,0.79
IEZ0359OXM-O,2.53,1.01,0.91,0.87,0.82,0.97,0.97
IEZ0359OXM-I,2.21,0.88,0.8,0.76,0.72,0.84,0.84
,,,,,,,
IEZXXG8-X,1.03,0.41,0.35,0.33,0.31,0.39,0.39
IEZXXG7M-X,1.46,0.58,0.52,0.48,0.45,0.55,0.55
IEZITYM-X,1.25,0.5,0.44,0.41,0.39,0.47,0.47
IEZITYDM-X,1.84,0.74,0.65,0.62,0.59,0.7,0.7
,,,,,,,
IEZXXG8-X8,1.03,0.4,0.36,0.35,0.33,0.39,0.39
IEZXXG7M-X8,1.28,0.51,0.45,0.43,0.41,0.49,0.49
IEZITYM-X8,2.11,0.85,0.75,0.73,0.71,0.81,0.81
IEZITYDM-X8,2.35,0.94,0.83,0.8,0.77,0.89,0.89
,,,,,,,
IEZXXG8-X7,1.43,0.57,0.51,0.48,0.45,0.54,0.54
IEZXXG7M-X7,3.25,1.3,1.15,1.12,1.08,1.24,1.24
IEZITYM-X7,2.49,1,0.88,0.86,0.84,0.95,0.95
IEZITYDM-X7,2.91,1.16,1.03,1.01,0.99,1.1,1.1
,,,,,,,
IEZXXG8-X87,4.53,1.81,1.61,1.58,1.54,1.73,1.73
IEZXXG7M-X87,6.23,2.49,2.2,2.14,2.08,2.36,2.36
IEZITYM-X87,6.31,2.52,2.23,2.18,2.13,2.4,2.4
IEZITYDM-X87,8.22,3.29,2.9,2.82,2.73,3.12,3.12
,,,,,,,
IEZXXG8-XC,0.61,0.26,0.22,0.21,0.2,0.24,0.24
,,,,,,,
IEZITYO-XLMM,9.27,3.68,3.35,3.18,3.02,3.51,3.51
IEZITYDO-XLMM,10.15,4.06,3.58,3.35,3.11,3.85,3.76
,,,,,,,
IEZITYG-XLMM,11.66,4.69,3.96,3.78,3.6,4.44,4.16
IEZITYDG-XLMM,15.94,6.38,5.54,5.27,4.99,6.06,5.82
,,,,,,,
IEZITYDC-XLMM,24.16,9.67,8.64,8.13,7.61,9.18,9.07
IEZITYC-XLMM,13.5,5.39,4.72,4.55,4.39,5.13,4.95
,,,,,,,
IEZXXG8-O,3.82,1.52,1.35,1.3,1.24,1.45,1.45
IEZXXG8-G,7.55,3.17,2.81,2.72,2.62,3.02,3.02
IEZXXG8-C,5.67,2.38,2.11,2.05,1.99,2.26,2.26
,,,,,,,
IEZ32XXG7-X,5.87,2.34,2.09,1.98,1.88,2.22,2.22
IEZ32M-X,2.3,0.92,0.82,0.76,0.7,0.87,0.87
IEZ32ITYDM-X,3.36,1.34,1.19,1.15,1.1,1.28,1.28
IEZITYM-X,1.25,0.5,0.44,0.41,0.39,0.47,0.47
,,,,,,,
IEZ32XXG7-X8,5.37,2.15,1.91,1.83,1.75,2.03,2.03
IEZ32M-X8,2.49,1,0.89,0.86,0.84,0.95,0.95
IEZ32ITYM-X8,4.93,1.97,1.77,1.71,1.65,1.88,1.88
IEZ32ITYDM-X8,5.78,2.31,1.85,1.8,1.74,2.2,2.2
,,,,,,,
IEZ32XXG7-X7,6.17,2.47,2.19,2.1,2,2.34,2.34
IEZ32M-X7,4.55,1.82,1.62,1.56,1.49,1.74,1.74
IEZ32ITYM-X7,7.02,2.79,2.46,2.39,2.33,2.66,2.66
IEZ32ITYDM-X7,5.7,2.28,2,1.96,1.91,2.17,2.17
,,,,,,,
IEZ32XXG7-X87,5.22,2.09,1.84,1.8,1.77,1.99,1.99
IEZ32M-X87,7.96,3.18,2.79,2.73,2.68,3.02,3.02
IEZ32ITYM-X87,6.54,2.61,2.29,2.25,2.22,2.48,2.48
IEZ32ITYDM-X87,11.18,4.47,3.95,3.89,3.83,4.26,4.26
,,,,,,,
IEZ32-T,4.43,1.79,1.5,1.44,1.39,1.67,1.67
IEZ32-S,3.44,1.38,1.19,1.14,1.09,1.31,1.31
IEZ32-VX,5.65,2.27,1.92,1.86,1.79,2.15,2.15
,,,,,,,
IEZXG,14.98,5.99,5.29,5.29,5.29,5.69,5.69
,,,,,,,
INF279-69,11.15,4.47,3.95,3.95,3.95,4.24,4.25
INF279-59,10.33,4.14,3.66,3.66,3.66,3.93,3.94
INF232-69,17.46,6.98,6.17,6.17,6.17,6.63,6.63
INF232-59,17.54,7.01,6.2,6.2,6.2,6.66,6.66
,,,,,,,
,,,,,,,
INF8579-69,24.12,9.65,8.52,8.52,8.52,9.16,9.16
INF8579-59,18.71,7.49,6.61,6.61,6.61,7.11,7.11
INF8532-69,30.26,12.1,10.69,10.69,10.69,11.5,11.5
INF8532-59,20.86,8.34,7.37,7.37,7.37,7.93,7.93
,,,,,,,
INF8579-69XFG,22.19,8.88,7.84,7.84,7.84,8.43,8.43
INF8579-59XFG,22.11,8.85,7.81,7.81,7.81,8.4,8.4
INF8532-69XFG,23.71,9.48,8.38,8.38,8.38,9.02,9.02
INF8532-59XFG,27.23,10.89,9.62,9.62,9.62,10.35,10.35
,,,,,,,
INFXLYITY79,16.11,6.44,5.69,5.69,5.69,6.12,6.12
INFXLYITY32,29.94,11.98,10.58,10.58,10.58,11.38,11.38
,,,,,,,
,,,,,,,
IEXITYD79-69,20.68,8.27,7.32,7.32,7.32,7.87,7.87
IEXITYD79-59,17.58,7.03,6.23,6.23,6.23,6.68,6.7
IEXITYD32-69,36.87,14.75,13.04,13.04,13.04,14.02,14.02
IEXITYD32-59,31.53,12.61,11.15,11.15,11.15,11.98,11.98
,,,,,,,
IEXITYD32-69XFG,31.24,12.5,11.04,11.04,11.04,11.88,11.88
,,,,,,,
IEX6P8,11.5,4.61,4.07,4.07,4.07,4.38,4.38
IEX5P8,8.57,3.43,3.04,3.04,3.04,3.27,3.27
IEX6P6,34.38,13.75,12.16,12.16,12.16,13.07,13.07
IEX5P6,28.96,11.58,10.24,10.24,10.24,11.01,11.01
IEX72P4,32.49,13,11.48,10.92,10.36,12.35,12.35
IEX6P4,58.53,23.41,20.69,20.69,20.69,22.24,22.24
IEX5P4,43.36,17.34,15.32,15.32,15.32,16.48,16.48
,,,,,,,
IEXITYD6P8,23.04,9.2,8.14,8.14,8.14,8.76,8.76
IEXITYD5P8,17.16,6.87,6.07,6.07,6.07,6.52,6.52
IEXITYD6P6,62.89,25.16,22.23,22.23,22.23,23.9,23.9
IEXITYD5P6,71.28,28.51,25.19,25.19,25.19,27.09,27.09
IEXITYD6P4,120.06,48.02,42.43,42.43,42.43,45.63,45.63
IEXITYD5P4,132.98,53.19,47,47,47,50.54,50.54
,,,,,,,
IEX6P328,11.58,4.63,4.1,4.1,4.1,4.4,4.4
IEX5P328,18.3,7.32,6.47,6.47,6.47,6.96,6.96
IEX6P326,33.07,13.23,11.68,11.68,11.68,12.56,12.56
IEX5P326,50.5,20.2,17.84,17.84,17.84,19.18,19.18
IEX72P324,72.02,28.81,25.44,23.76,22.08,27.35,27.35
IEX6P324,62.16,24.87,21.97,21.97,21.97,23.63,23.63
IEX5P324,99.09,39.64,35.03,35.03,35.03,37.66,37.66
,,,,,,,
IEXITYD6P328,37.99,15.2,13.43,13.43,13.43,14.44,14.44
IEXITYD5P328,22.46,8.99,7.94,7.94,7.94,8.54,8.54
IEXITYD6P326,96.57,38.63,34.12,34.12,34.12,36.69,36.69
IEXITYD5P326,68.3,27.32,24.13,24.13,24.13,25.95,25.95
IEXITYD6P324,147.2,58.88,52.02,52.02,52.02,55.94,55.94
IEXITYD5P324,120.8,48.32,42.69,42.69,42.69,45.9,45.9
,,,,,,,
INFXXG8-O,5.24,2.11,1.86,1.72,1.58,1.99,2
INFXXG8-G,8.07,3.23,2.86,2.64,2.43,3.08,3.08
,,,,,,,
INF-X,3.01,1.22,1.09,1.01,0.92,1.15,1.15
INFXLYITY-X,2.32,0.93,0.82,0.75,0.69,0.88,0.88
IEXITYD-X,2.12,0.85,0.75,0.7,0.65,0.8,0.8
,,,,,,,
INF-X8,4.02,1.61,1.4,1.34,1.27,1.52,1.52
INFXLYITY-X8,4.04,1.61,1.42,1.36,1.29,1.53,1.53
IEXITYD-X8,3.87,1.55,1.36,1.3,1.24,1.47,1.47
,,,,,,,
INF-X7,6.58,2.64,2.33,2.19,2.04,2.51,2.51
INFXLYITY-X7,5.42,2.17,1.92,1.8,1.68,2.06,2.06
IEXITYD-X7,7.83,3.13,2.77,2.6,2.44,2.98,2.98
,,,,,,,
INFXXG8-X87,5.56,2.22,1.95,1.81,1.66,2.1,2.1
INFXLYITY-X87,8.93,3.57,3.17,2.92,2.68,3.41,3.41
IEXITYD-X87,6.56,2.62,2.33,2.26,2.19,2.5,2.5
,,,,,,,
INFXXG8-XC,0.86,0.34,0.3,0.28,0.26,0.32,0.32
INFXLYITY-XC,1.21,0.48,0.43,0.4,0.37,0.46,0.46
,,,,,,,
INF32-X,4.38,1.76,1.57,1.52,1.47,1.68,1.68
INF32XLYITY-X,5.49,2.2,1.94,1.88,1.81,2.09,2.09
,,,,,,,
INF32-X8,5.8,2.31,2.01,1.95,1.88,2.2,2.2
INF32XLYITY-X8,6.04,2.42,2.13,2.07,2.01,2.29,2.29
,,,,,,,
INF32-X7,4.82,1.92,1.67,1.62,1.58,1.82,1.82
INF32XLYITY-X7,4.22,1.69,1.49,1.45,1.4,1.61,1.61
,,,,,,,
INF32-X87,9.21,3.68,3.27,3.21,3.14,3.51,3.51
INFXXG8-X87,5.56,2.22,1.95,1.81,1.66,2.1,2.1
INFXLYITY-X87,8.93,3.57,3.17,2.92,2.68,3.41,3.41
INF32XLYITY-X87,9.97,3.99,3.52,3.26,2.99,3.79,3.79
,,,,,,,
IEZ32-T,4.43,1.79,1.5,1.44,1.39,1.67,1.67
IEZ32-S,3.44,1.38,1.19,1.14,1.09,1.31,1.31
INF32-VX,6.62,2.64,2.32,2.26,2.2,2.51,2.51
IEZXG,14.98,5.99,5.29,5.29,5.29,5.69,5.69
,,,,,,,
IEZ8487M-KHF,13.19,5.28,4.67,4.39,4.11,5.02,5.02
IEZ8475M-KHF,11.05,4.42,3.91,3.67,3.44,4.2,4.2
IEZ6987M-KHF,22.56,9.02,7.98,7.47,6.97,8.58,8.58
IEZ6975M-KHF,31.45,12.58,11.12,10.42,9.72,11.96,11.96
IEZ3987M-KHF,37.57,15.03,13.28,12.47,11.65,14.28,14.28
IEZ3975M-KHF,31.91,12.76,11.28,10.59,9.9,12.13,12.13
IEZ89987M-KHF,78.12,31.25,27.62,25.94,24.27,29.7,29.7
IEZ89975M-KHF,86.78,34.71,30.68,28.82,26.96,32.99,32.99
IEZ81987M-KHF,119.31,47.73,42.17,40.76,39.36,45.34,45.34
IEZ84975M-KHF,68.21,27.28,24.11,22.63,21.14,25.93,25.93
IEZ75975M-KHF,97.93,39.17,34.61,33.59,32.58,37.22,37.22
IEZ67975M-KHF,108.47,43.39,38.33,36.95,35.56,41.21,41.21
,,,,,,,
IEZ79WEM-KHF,21.4,8.56,7.55,7.24,6.92,8.12,8.12
IEZ59WEM-KHF,24.06,9.63,8.5,8.3,8.11,9.14,9.14
IEZ39WEM-KHF,33.09,13.24,11.7,11.49,11.28,12.58,12.58
,,,,,,,
IEZ6987WFM-KHF,54.11,21.64,19.12,18.14,17.16,20.57,20.57
IEZ6975WFM-KHF,51.61,20.64,18.24,17.31,16.37,19.62,19.62
IEZ4987WFM-KHF,66.97,26.79,23.67,22.45,21.24,25.45,25.45
IEZ4975WFM-KHF,97.99,39.19,34.63,32.85,31.07,37.24,37.24
IEZ2487WFM-KHF,164.52,65.81,58.14,54.85,51.56,62.51,62.51
IEZ2475WFM-KHF,168.91,67.56,59.69,56.31,52.94,64.18,64.18
,,,,,,,
IEZ398732M-KHF,,,,,,,
IEZ397532M-KHF,51.41,20.56,18.17,17.2,16.24,19.54,19.54
IEZ8998732M-KHF,,,,,,,
IEZ8997532M-KHF,83.81,33.52,29.61,27.95,26.28,31.84,31.84
IEZ7998732M-KHF,110.35,44.14,38.99,37.04,35.09,41.93,41.93
IEZ7997532M-KHF,109.09,43.64,38.55,36.62,34.69,41.45,41.45
,,,,,,,
IEZXXG8-IX,111.73,44.69,39.5,36.68,33.86,42.47,42.47
IEZITYD-IX,81.94,32.78,28.97,26.9,24.83,31.15,31.15
,,,,,,,
IEZXXG8-XIGO,73.51,29.4,25.82,24.35,22.89,27.93,27.09
IEZITY-XIGO,55.6,22.24,19.53,18.42,17.31,21.13,20.49
IEZITYD-XIGO,162.46,64.97,56.94,53.84,50.74,61.73,59.79
,,,,,,,
IEZXXG8-DK,104.17,41.66,36.57,34.52,32.48,39.58,38.39
IEZITY-DK,110.33,44.12,38.73,36.56,34.4,41.92,40.66
IEZITYD-DK,150.98,60.41,52.8,49.96,47.12,57.37,55.47
,,,,,,,
IEZ5A5X-IVX,88.47,35.39,30.82,28.72,26.62,33.62,33.62
,,,,,,,
IEZ5A5X-IVN,41.84,16.73,14.54,14.08,13.63,15.9,15.9
,,,,,,,
IEZXXG8-ZNK,49.05,19.61,17.13,16.16,15.19,18.63,17.99
,,,,,,,
IEZITY-ZNK,59.39,23.75,20.74,19.57,18.39,22.56,21.79
IEZITYD-ZNK,69.57,27.83,24.15,22.86,21.58,26.43,25.34
,,,,,,,
VC4,223.84,89.53,78.52,75.25,71.97,85.06,85.06
VC1H,229.91,91.96,83.84,81.63,79.43,87.37,87.37
OG-145-4Z,130.52,52.21,46.23,44.13,42.02,49.59,49.59
,,,,,,,
IEZXXG8-DRUR,52.16,20.85,18.58,17.96,17.34,19.81,19.81
IEZXXG7-DRUR,58.04,23.2,20.67,19.98,19.29,22.04,22.04
IEZITY-DRUR,45.15,18.05,16.08,15.54,15.01,17.14,17.14
IEZITYD-DRUR,55,21.98,19.42,18.82,18.21,20.89,20.89
,,,,,,,
IEZXXG8D49,2.34,0.93,0.81,0.81,0.81,0.89,0.89
IEZITYD49,4.23,1.68,1.47,1.47,1.47,1.6,1.6
IEZITYDD49,4.69,1.87,1.61,1.61,1.61,1.78,1.78
IEYRK8,35.7,14.28,12.67,11.87,11.07,13.55,13.3
IEYRK7,30.09,12.03,10.68,10.01,9.33,11.42,11.21
,,,,,,,
IZZ1693449,51.32,20.53,18.22,17.67,17.11,19.76,19.76
IZZ1593449,46.32,18.53,16.44,15.94,15.44,17.83,17.83
,,,,,,,
IZZXK,46.95,18.78,16.59,15.99,15.4,17.84,17.84
IZZSH84,7.87,3.15,2.78,2.78,2.78,2.99,2.99
IZZH,67.43,26.97,23.83,23.31,22.79,25.62,25.62
,,,,,,,
IVCZ827-76,82.12,32.86,28.79,27.32,25.85,31.22,31.22
IVCZ837-76,22.69,9.07,8.03,7.62,7.22,8.62,8.62
IVCX757-76,87.04,34.81,30.59,28.88,27.17,33.07,32.12
IVCK857-76,68.92,27.58,24.1,22.53,20.96,26.2,26.2
IVCK847-76,54.21,21.69,19.16,18.24,17.31,20.61,20.61
IVCI477-76,122.36,48.96,42.71,40.33,37.95,46.5,44.83
IVCH907-76,46.1,11.19,10,9.69,9.38,10.63,10.63
IVCH787-76,55.99,22.39,19.78,19.17,18.55,21.27,21.27
IVCHD928-76,22.23,8.89,7.84,7.62,7.4,8.45,8.25
IVCI907-76,29.67,7.11,6.39,6.3,6.2,6.76,6.76
IVCI787-76,38.21,15.28,13.5,13.08,12.66,14.51,14.51
IVCH787-X,2.34,0.93,0.83,0.8,0.78,0.89,0.89
,,,,,,,
,,,,,,,
IVCI477-VX,1.57,0.63,0.55,0.55,0.55,0.6,0.6
IVCZ827-VX,1.63,0.65,0.57,0.57,0.57,0.62,0.62
IVCX757-VX,1.09,0.43,0.38,0.38,0.38,0.41,0.41
IVCI907-VX,1.44,0.57,0.5,0.47,0.44,0.55,0.55
IVCI787-VX,1.62,0.65,0.56,0.53,0.5,0.62,0.62
IVCH907-X,1.14,0.46,0.4,0.37,0.35,0.43,0.43
IVCH907-VX,1.88,0.75,0.66,0.62,0.58,0.72,0.72
IVCH787-VX,1.98,0.79,0.69,0.65,0.61,0.75,0.75
,,,,,,,
,,,,,,,
,,,,,,,
IZN59593939-98,154.8,36.37,30.82,29.35,27.87,34.05,32.36
IZN59493939-98,153.49,36.06,30.56,29.1,27.63,33.76,32.09
,,,,,,,
IZN59593939-98V,156.77,62.7,59.86,58.81,57.76,59.57,59.57
IZN59593939-98HGV,434.63,173.85,160.12,154.79,149.46,165.15,168.13
IZN59593939-98HVM,140.18,56.07,53.54,52.6,51.65,53.27,53.27
IZN59593939-98WW,139.79,55.93,53.4,52.46,51.52,53.12,53.12
IZN59593939-98ZW,195.57,83.7,78.39,76.39,74.4,79.52,82.31
IZN59493939-98V,,,,,,,
IZN59493939-98ZW,206.43,82.57,77.33,75.36,73.39,78.44,81.2
,,,,,,,
I3939HNPUY-98,62.39,24.95,21.65,20.81,19.97,23.71,22.72
IZNIX,21.74,8.68,7.24,6.52,5.8,8.26,7.59
IZNHHG,6.46,2.57,2.09,1.87,1.65,2.44,2.18
IKOYIP-98,33.29,13.3,11.63,10.8,9.97,12.65,12.65
IZNHFH-5D,17.65,7.05,6.05,5.54,5.04,6.71,6.35
IZN59WWEI,59.97,23.99,23.99,23.99,23.99,23.99,23.99
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
PO64X-KE,63.04,25.22,22.28,20.94,19.6,23.96,23.96
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
IWOC5939-98,42.78,17.11,15.11,15.11,15.11,16.24,16.24
IWOC4939-98,47.76,19.1,16.87,16.87,16.87,18.14,18.14
IUOC5939V-98,,,,,,,
,,,,,,,
IWO3939HU-98,34.1,13.63,12.09,11.55,11.01,12.95,12.95
IWOHFH-5D,17.2,6.88,6.06,5.48,4.9,6.53,6.53
IWOHHG,5.11,2.03,1.66,1.48,1.31,1.95,1.95
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
IWOVHFH-7D,,,,,,,
IWOVHFH-6D,,,,,,,
IWOV3939HU-98,,,,,,,
IWOV687HU-98,,,,,,,
IWOV387HU-98,,,,,,,
,,,,,,,
,,,,,,,
IWOC5939FTI-98,49.23,19.69,17.39,17.39,17.39,18.7,18.7
IWOC4939FTI-98,54.17,21.67,19.14,19.14,19.14,20.58,20.58
IWOC5939FTIV-98,106.56,42.63,37.66,37.46,37.26,40.49,40.49
,,,,,,,
IWO3939HU-98,34.1,13.63,12.09,11.55,11.01,12.95,12.95
IWOHFH-5D,17.2,6.88,6.06,5.48,4.9,6.53,6.53
IWOHHG,5.11,2.03,1.66,1.48,1.31,1.95,1.95
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
IWOC39-98,41.41,16.57,14.64,14.64,14.64,15.75,15.75
,,,,,,,
,,,,,,,
,,,,,,,
IWO3939HU-98,34.1,13.63,12.09,11.55,11.01,12.95,12.95
IWOHFH-5D,17.2,6.88,6.06,5.48,4.9,6.53,6.53
IWOHHG,5.11,2.03,1.66,1.48,1.31,1.95,1.95
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
IWOC39FTI-98,53.76,21.5,19,19,19,20.42,20.42
IWOC687FTI-98,104.27,41.7,36.85,36.85,36.85,39.62,39.62
IWOC387FTI-98,168.26,67.3,59.46,59.46,59.46,63.93,63.93
,,,,,,,
,,,,,,,
IWO3939HU-98,34.1,13.63,12.09,11.55,11.01,12.95,12.95
IWOHFH-5D,17.2,6.88,6.06,5.48,4.9,6.53,6.53
IWOHHG,5.11,2.03,1.66,1.48,1.31,1.95,1.95
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
IWOKC5939FTI-98,89.7,35.88,31.69,31.69,31.69,34.08,34.08
IWOKC4939FTI-98,82.69,33.08,29.22,29.22,29.22,31.42,31.42
,,,,,,,
,,,,,,,
IWO3939HU-98,34.1,13.63,12.09,11.55,11.01,12.95,12.95
IWOHFH-5D,17.2,6.88,6.06,5.48,4.9,6.53,6.53
IWOHHG,5.11,2.03,1.66,1.48,1.31,1.95,1.95
SVW3954/W7,103.52,41.4,36.79,36.79,36.79,39.33,39.33
I6VNKP5-KHF,105.38,42.14,33.95,31.62,29.28,40.05,35.65
,,,,,,,
IWO5959393934-98,82.23,32.89,29.49,28.9,28.31,31.26,31.26
,,,,,,,
IWO5959393934-98HVM,100.14,40.05,36.41,36.41,36.41,38.05,38.05
,,,,,,,
IWO3939HU-98,34.1,13.63,12.09,11.55,11.01,12.95,12.95
